feature,group,rf_mdi,rf_perm_mean,rf_perm_std,mlp_perm_mean,mlp_perm_std
S_bin26,S,0.0037381173482072968,-0.0029733807205055696,0.002305825656597622,0.004703267752179522,0.005448957528619926
S_bin27,S,0.004192582354598718,-0.002667559513824029,0.0022073825867860927,0.00694192974891773,0.005254157828178263
S_bin28,S,0.003986899906651864,0.0003242184615276034,0.003256444293920181,0.004182309944040978,0.004333765023257704
S_bin29,S,0.004636522790127703,0.0005755289339690495,0.003416618974181661,0.011430292212367018,0.006568687341503381
S_bin30,S,0.003990493005576103,0.0004031827661990728,0.0023616146000976627,0.01731199601513615,0.006387016950361154
S_bin31,S,0.0053980412138712785,-0.0001868829015652181,0.0037693655086171863,0.0052478442421147265,0.004973443027997421
V_bin0,V,0.005792428953759234,-0.003679036684604009,0.002356388032810684,0.005226269857595159,0.0036156662634416535
V_bin1,V,0.008499871195958422,-0.004499366027391479,0.003848453750314146,0.013644426107342148,0.006154676896754512
V_bin2,V,0.008245513984724945,-0.0056218946584276844,0.00390909854572057,0.005450468649831286,0.006699593092476536
V_bin3,V,0.008721599251762515,0.0019965356918944964,0.004992052351788034,-1.4600748188039099e-05,0.004798436988852915
V_bin4,V,0.008501772287875345,0.0030244956009465715,0.0044101273538972655,0.005381392464213545,0.006602450139226737
V_bin5,V,0.009383887598363665,0.0035002725557438776,0.004692193517453741,-0.0016315012160093493,0.004142636918972825
V_bin6,V,0.00928093654861312,0.002332808981491515,0.0033162940806948015,-0.0006166673021355762,0.004535246931702618
V_bin7,V,0.010556812365720359,-0.004060341546718626,0.0037128142379290793,0.005203660550288965,0.006232435317010867
V_bin8,V,0.009031450819314895,-0.00021831230022260802,0.0034502481713225125,0.004042919234047123,0.004467515175935494
V_bin9,V,0.008405422899168447,-0.0010732822592196545,0.0035631817275584587,0.0031987250478464216,0.004777280811578025
V_bin10,V,0.008124712045924336,-0.004427009486263792,0.0023099591674689687,5.068207545685377e-05,0.005200085163621098
V_bin11,V,0.008408343098129493,-0.0011767055081546038,0.0033845008217890087,0.0024611309237289455,0.0064551598817076785
V_bin12,V,0.007169823641012111,-0.002650945209610593,0.0017962389087333636,0.0018582997742084052,0.005313788993782256
